Numero agrement,SIRET,Raison Sociale,Adresse,Code Postal,Commune,AVL,AOD,AGE,AFE,DMG,CLA,CRE,COQ,CCC,DVV,DGS,DVB,DVG,EOE,ENT,EMG,GCO,GCH,GSA,GAF,OPR,PEC,BOY,GRE,LPL,PVI,VHA,OLI,PBV,VSM
01.053.007,19010819100015,LYCEE ENSEIGNEMENT GTPA LES SARDIERES,79 AV DE JASSERON,1000,BOURG EN BRESSE,,,,,,,,,,1,,1,1,,,,,,,,,,,1,1,1,,,1,
01.053.010,53231916700013,SARL LE MONDE DU HALAL - LE MONDE DU HALAL,22 B AV ARSENE D ARSONVAL,1000,BOURG EN BRESSE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.053.012,21010053300541,COMMUNE DE BOURG EN BRESSE - UNITE DE PRODUCTION CULINAIRE FLEXIBLE,UCPF 10 RUE DES CHRYSANTHEMES,1000,BOURG EN BRESSE,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.053.015,35194101800027,SOCIETE NOUVELLE UTP,1 RUE JEAN GUTENBERG,1000,BOURG EN BRESSE,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,
01.053.018,34513051201913,GENEDIS - PROMOCASH,ZONE INDUSTRIELLE NORD 39 AV DE MARBOZ,1000,BOURG EN BRESSE,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
01.053.021,39210057400012,BRIDON DISTRIBUTION GASTRONOMIE,3 RUE GUICHENON,1000,BOURG EN BRESSE,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
01.053.024,33219912400030,TROPAL VIANDES SAS,POLE DES VIANDES 32 RUE FRANCOIS ARAGO,1000,BOURG EN BRESSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
01.053.026,48222460700028,O.T. TRAITEUR,235 RUE LEOPOLD LE HON,1000,BOURG EN BRESSE,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
01.053.029,50345586700013,BOYAUDERIE CHRISTIAN DUCLOS,7 RUE JOSEPH JACQUART,1000,BOURG EN BRESSE,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
01.053.030,33219913200025,COMPAGNIE D'ABATTAGE DE BOURG,CENORD 32 RUE FRANCOIS ARAGO,1000,BOURG EN BRESSE,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
01.053.034,33197998900026,ABATTOIRS DES CRETS,3 RUE JOSEPH JACQUART,1000,BOURG EN BRESSE,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
01.053.052,33197998900026,ABATTOIRS DES CRETS,3 RUE JOSEPH JACQUART,1000,BOURG EN BRESSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
01.053.075,31142796700030,SNC TC,017B 17 AV MAGINOT,1000,BOURG EN BRESSE,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
01.053.078,31300224800026,BRESSE FONTE,AV BAD KREUZNACH 7 IMP LE CHENIL,1000,BOURG EN BRESSE,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
01.053.187,43937112100013,ORG GES ECOLE CATHOL ST PIERRE,7 RUE VILLENEUVE BP 12,1000,BOURG EN BRESSE,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.053.264,44967674100035,FROMAGERIE DES COTES,ZONE CENORD 25 RUE FRANCOIS ARAGO,1000,BOURG EN BRESSE,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.053.420,51536358800010,NATURELS BOYAUX - NATURELS BOYAUX,ZI CENORD 10 RUE JOSEPH JACQUART,1000,BOURG EN BRESSE,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
01.060.001,30117108800018,SOC COOP AGRICOLE FROMAGERIE BRENOD,FROMAGERIE,1110,BRENOD,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.071.061,77933350900031,OGEC GEX JEANNE D ARC - LYCEE GEN TECHNO PRIVE JEANNE D ARC,273 RUE DE GENEVE BP 329,1170,GEX,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.072.001,42393704400026,LANGLOYS TRAITEUR,Z A DOMAGNE,1250,CEYZERIAT,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
01.072.002,49910724100014,LANGLOYS PRODUCTION - LE MARMITON,435 ZA EN DOMAGNE,1250,CEYZERIAT,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,
01.072.050,77554408300089,ASS DEP AMIS ENFANTS INADAPTES - FOYER HEBERGEMENT DOMAGNE,11 RUE PIERRE DE COUBERTIN,1250,CEYZERIAT,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.074.001,79790526200011,AVIBRESSE,66 RTE DE PONT D'AIN,1320,CHALAMONT,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
01.074.002,79790526200011,AVIBRESSE,66 RTE DE PONT D'AIN,1320,CHALAMONT,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
01.074.003,39155659400011,MIFROMA FRANCE,RTE DE PONT D'AIN,1320,CHALAMONT,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,
01.074.004,33889585700013,AGRITRANS,RTE DE PONT D AIN,1320,CHALAMONT,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
01.075.001,45282497200015,EARL DU PIGEONNIER,LE FOURNIEUX 186 CHE DE BARNU,1480,CHALEINS,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.093.055,32436815800014,DEPLATIERE SA,212 RUE LA TREDONNIERE,1400,CHATILLON SUR CHALARONNE,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
01.095.056,79063045300013,OUSTRY KARINE,AUX MOLLARDS,1250,CHAVANNES SUR SURAN,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
01.104.001,30117009800018,SOC COOPERATIVE DE FROMAGERIE,ME MATHIEU CHRISTINE L ABBAYE,1410,CHEZERY FORENS,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.105.051,41976179600012,SCEA LA PETITE FAGNE,2670 RTE DE LYON,1390,CIVRIEUX,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.118.051,32657833300188,SANTE ET BIEN ETRE - MAISON RETRAITE LE CLOS DE GREX CORBONOD,LD GIGNEZ,1420,CORBONOD,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.125.050,53098102600012,GAEC RECONNU LES CHEVRIERS D'ECHAZEAUX,SAINT MAURICE D'ECHAZEAUX 90 CHE SUR LA VILLE,1250,CORVEISSIAT,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.140.051,45229812800011,EARL SIBELLE,LA CHEVINIERE,1310,CURTAFOND,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.140.052,42155694500010,EARL DES TAMARIS,CORMASSINE,1310,CURTAFOND,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.143.111,21010143200016,COMMUNE DE DIVONNE-LES-BAINS,MAIRIE AV DES THERMES,1220,DIVONNE LES BAINS,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.144.051,42919929200013,EARL FERME DE LA CHESNAIE,LA MURE,1380,DOMMARTIN,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,
01.150.001,30117014800011,COOP AGRICOLE FROMAGERIE DE DROM,0,1250,DROM,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.151.050,97240852000021,JANTON GERARD PIERRE,LE CHENE CLAIR RTE LE CHENE CLAIR,1160,DRUILLAT,1,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,
01.154.001,33854464600015,LAITERIE COOP AGRICOLE ETREZ BEAUPONT,367 RTE DE MONTREVEL,1340,ETREZ,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.157.001,30502546200022,GAEC DU PERRAT,LES FERRIERES,1480,CHALEINS,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
01.159.002,32901020100039,ROLAND MONTERRAT,ZA SUD 226 RUE DE LA LOEZE,1570,FEILLENS,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
01.159.054,31922330100015,SARL JEAN DUBY,LA CHAPELLE 385 RTE DE BAGE,1570,FEILLENS,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,
01.163.002,30117024700011,BEURRERIE COOP FOISSIAT LESCHEROUX,MALEMPAN 700 RTE DE JAYAT,1340,FOISSIAT,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.166.001,31182126800050,SAINT JEAN,ZA DU PARDY,1480,FRANS,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
01.171.053,26011021800112,CENTRE HOSPITALIER DU HAUT BUGEY,1 RTE DE VEYZIAT,1100,GEOVREISSET,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.173.050,26010010200011,HOPITAL LOCAL DU PAYS DE GEX,160 RUE MARC PANISSOD BP 437,1170,GEX,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.179.001,38322876400023,BRESSOR SA,0,1290,GRIEGES,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.185.001,49809765800021,FALLAVIER F ET G - HAUTEVILLE TRAITEUR,18 IMP DES CLOCHETTES,1110,HAUTEVILLE LOMPNES,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.185.054,26011019200010,CTRE HOSPITALIER PUBLIC D HAUTEVILLE,AV FELIX MANGINI BP 41,1110,HAUTEVILLE LOMPNES,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.185.060,77554456200017,ORSAC - CENTRE ORCET MANGINI,CENTRE MEDICAL RUE D ORCET BP 5,1110,HAUTEVILLE LOMPNES,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.187.001,76020158200011,ETS GESLER BOUCHERIE GROS, ,1260,HOTONNES,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
01.187.01,76020158200011,ETS GESLER BOUCHERIE GROS, ,1260,HOTONNES,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,
01.192.050,42142377300025,SOC RIS,ZI PIERRE FONDELLE 50 LD PIERRE FONDELLE,1580,IZERNORE,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.194.002,96250298500048,ETABLISSEMENTS PLASSE,766 RUE EDOUARD HERRIOT,1480,JASSANS RIOTTIER,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,
01.199.052,34921026000015,LE CHATEAU DE VALENCE,PL DE LA MAIRIE,1640,JUJURIEUX,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.203.001,33358346600292,KUEHNE+NAGEL,431 RTE DE CHATILLON,1290,LAIZ,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
01.211.052,77933981100019,CANTINE SCOLAIRE, ,1240,LENT,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.212.054,41181806500012,GAEC RECONNU FERME DES BRUYERES,LES BRUYERES,1560,LESCHEROUX,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.213.001,39015946500017,FROMAGERIE VALMENT,0,1150,LEYMENT,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.216.001,77934033000017,GAEC DE LA PAVIA, ,1680,LHUIS,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
01.224.001,30892023000023,SIBERT ET FILS,ZONE INDUSTRIELLE DE LA CR Z I DE LA CROZE,1360,LOYETTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
01.226.050,39154245300017,BILLET JOEL,90 CHE DU MUGUET,1340,MONTREVEL EN BRESSE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.231.001,39256245000016,RESTAURATION POUR COLLECTIVITES,ZONE ARTISANALE LAVY,1570,MANZIAT,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,
01.231.003,35019078100012,SPECIALITES INDUST CULINAIRES SIAC,ZONE ARTISANALE DE LAVY 28 RUE DE LAVY,1570,MANZIAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
01.232.051,41463047500013,RICHONNIER VIVIANE,LA TOUR,1851,MARBOZ,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.235.051,32739835000014,GAEC DES CLOUGERES,LE CLOU,1240,MARLIEUX,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.244.002,51052431700011,LAITERIE ARTISANALE LA COTIERE,LES GRANGES,1800,MEXIMIEUX,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.244.052,37951266800029,CHABAUD ALAIN,28 RTE DE GENEVE,1800,MEXIMIEUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
01.244.058,26010013600019,HOPITAL LOCAL MEXIMIEUX,13 RUE DOCTEUR BOYER,1800,MEXIMIEUX,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.245.054,21010245500024,COMMUNE DE BOHAS-MEYRIAT-RIGNAT - ECOLE ELEMENTAIRE PUBLIQUE,BOHAS,1250,BOHAS MEYRIAT RIGNAT,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.246.001,50439762100013,LA BRESSE SAS,RTE DE CHAVEYRIAT,1660,MEZERIAT,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,
01.248.001,34924071300017,GIRARD PATRICE - FERME DU BERTHOLON,LE BERTHOLON,1390,MIONNAY,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
01.249.001,30544279000328,ITM PARTICIPATIONS - BASE INTERMARCHE,LES ECHETS LD LES TERNES 38 RTE DE TRAMOYES,1700,MIRIBEL,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
01.249.003,96951034600022,SALAISONS STEMMELEN,ZAC DE ROSARGE RUE DE LA DOMBES,1700,MIRIBEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
01.249.004,95752335000065,CHORLIET BELLET TRAITEUR,ZI DE LA TUILERIE RUE DE LA TRAILLE,1700,MIRIBEL,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
01.249.056,77934678200039,INSTITUTION JOSEPHINE GUILLON,80 AV JOSEPHINE GUILLON,1700,MIRIBEL,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.252.001,53810785500016,LA FERME SAMKAT HALLAL,LES RIVES,1140,MOGNENEINS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.254.001,49203622300047,I.D FRAIS,ZA LES METRILLOTS,1250,MONTAGNAT,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
01.262.055,21010262000023,COMMUNE DE MONTLUEL - ECOLE ELEMENTAIRE ALPHONSE DAUDET,AV PIERRE CORMORECHE,1120,MONTLUEL,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.263.001,77020087100042,LES FILS DE BENOIT DIENNET,LE PELEUX,1090,MONTMERLE SUR SAONE,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,
01.266.001,31140355400018,AU CHAPON BRESSAN,L'HUPPE LD L HUPPE BP 8235,1340,MONTREVEL EN BRESSE,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,
01.266.002,31176420300015,LES VOLAILLES MIERAL,RTE DE CHALON,1340,MONTREVEL EN BRESSE,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,
01.269.001,77220003600048,FROMAGERIE SEIGNEMARTIN,ZA SOUS LA VIERGE 350 RUE DE LA GELINOTTE,1130,NANTUA,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.272.053,49773233900013,RACCURT GENEVIEVE,DESBONNAS,1400,NEUVILLE LES DAMES,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.275.001,40348650900025,CROC'PAUSE,PORTE DU GRAND LYON,1700,NEYRON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
01.281.057,77554456201205,ORSAC - ORSAC LE CLOS CHEVALIER,EHPAD 7 RUE PERE ADAM,1210,ORNEX,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.283.057,79870498700014,LE BUFFET DE LA PLAINE,49 RUE CAPITAINE MONTREAL,1100,OYONNAX,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.283.058,77935943900063,OGEC D'OYONNAX - ECOLE PRIMAIRE JEANNE D ARC,76 RUE JULES MICHELET,1100,OYONNAX,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.289.050,77931004400028,AFPMA APPRENTISSAGE,1 ALL DES TYRANDES BP 2,1960,PERONNAS,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.289.051,77930921000036,LE BON REPOS - RESIDENCE SEILLON REPOS,CHE DES CARRONNIERES,1960,PERONNAS,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.293.050,80188284600018,AU CHAMP DU PUITS,211 CHE DE LA FONTAINE,1430,PEYRIAT,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.299.051,77936179900017,ABBAYE DES DOMBES, ,1330,LE PLANTAY,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
01.301.001,42245346400014,GAEC RECONNU PISCICOLE TEPPE,LES MOLLIERES,1310,POLLIAT,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
01.303.001,64545010700059,MONTS & TERROIRS,SOUS LA COTE,1450,PONCIN,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.304.051,30552439900014,CHARCUTERIE GUILLEMIN,11 RUE BERNARD GANGLOF,1160,PONT D'AIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
01.304.056,26010019300010,MAISON DE RETRAITE DE PONT D AIN,RUE CATHERINETTE,1160,PONT D'AIN,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.320.001,30616856800021,GRANDJEAN,ZONE D'ACTIVITE MACON EST LE CLOS EST,1750,REPLONGES,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,
01.320.003,49067581600022,STEF TRANSPORT MACON,ZONE MACON EST ZA MACON EST,1750,REPLONGES,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
01.320.071,30580148200137,PANALOG,LES SALINS,1750,REPLONGES,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
01.322.001,51408083700172,ITM LOGISTIQUE ALIMENTAIRE INT,ETS BASE DE REYRIEUX ZI DE REYRIEUX 51 RUE DES COMMUNAUX,1600,REYRIEUX,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
01.322.055,26010028400025,CTRE HOSPITALIER MONTPENSIER TREVOUX - MAISON DE RETRAITE DE CLAIRVAL,941 RTE DE VEISSIEUX LE HAUT,1600,REYRIEUX,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.322.060,34441792800019,ASS GESTION RESTAURANT SCOLAIRE REYRIE, ,1600,REYRIEUX,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.333.01,34779301000039,LE FUMET DES DOMBES SAS,ZONE INDUSTRIELLE DE SURE ZI DE SURE,1390,SAINT ANDRE DE CORCY,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
01.334.002,51254908000012,SLIMPACK,5646 LE GRAVET,1290,SAINT ANDRE D'HUIRIAT,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.335.050,38062223300019,EARL DES PAMPILLES,THEVENARD,1240,SAINT ANDRE LE BOUCHOUX,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.336.001,76120001300016,SAINT ANDRE,450 RUE DE LA MAIRIE,1960,SAINT ANDRE SUR VIEUX JONC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
01.336.052,38105593800017,EARL DU DOMAINE DE LA PEROUSE,LE BOIS D'AMONT,1960,SAINT ANDRE SUR VIEUX JONC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.344.001,77936917200019,FROMAGERIE COOP ST DENIS BOURG,0,1000,SAINT DENIS LES BOURG,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.348.001,40509749400018,SARL EUROPEENNE BOYAUDERIE,LES BROCATIERES,1140,ST DIDIER SUR CHALARONNE,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
01.348.053,78804176200014,OGEC ST DIDIER SUR CHALARONNE, ,1140,ST DIDIER SUR CHALARONNE,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.350.001,37793722200067,POLE,LA BERGADERIE,1370,SAINT ETIENNE DU BOIS,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
01.350.051,77554408300196,ASS DEP AMIS ENFANTS INADAPTES - AP MAISON DES PAYS DE L'AIN,MONTAPLAN RTE NATIONALE,1370,SAINT ETIENNE DU BOIS,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.351.003,50046804600015,NCIE,470 AV DE FORMANS,1600,TREVOUX,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
01.354.055,21010354500013,COMMUNE DE SAINT-GENIS-POUILLY - MAIRIE,94 AV REPUBLIQUE,1630,SAINT-GENIS-POUILLY,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.357.001,34009861500016,SCEA DES PISCICULTURES PETIT,PRAPON,1130,ECHALLON,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
01.357.002,40830820300012,BUGEY GASTRONOMIE TRAITEUR,ZA LA VOUTE RTE DE LALLEYRIAT,1130,SAINT-GERMAIN-DE-JOUX,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
01.357.003,32966730700030,NOLO RENE JACQUES,18 RUE DOCTEUR MERCIER,1130,NANTUA,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
01.358.001,79397515200018,GAEC RECONNU DE BEAURETOUR,243 RUE DE L'EGLISE,1300,ST GERMAIN LES PAROISSES,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
01.364.001,50367393100021,RONSARD BRESSE,EN RAYER,1560,SAINT JEAN SUR REYSSOUZE,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,
01.370.050,26010022700024,RETR BOUCHACOURT ST LAURENT SUR SAONE,95 RUE CHEVALIER BURTIN,1750,SAINT LAURENT SUR SAONE,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
01.371.002,33941728900024,AQUACULTURE LIATOUT EURL,LE VILLAGE,1390,SAINT-MARCEL,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
01.373.001,30117065000016,SOC COOP AGRICOL FROMAGERIE COMBE DU V,ZA LES PELLANTS,1430,ST MARTIN DU FRESNE,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.373.002,49384918600017,TUNCA FRERES,ZI DES PELLAND,1430,ST MARTIN DU FRESNE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.378.051,42203610300014,SCEA FERME DES ROCHES,13 RTE DE LA CHARRIERE,1800,SAINT MAURICE DE GOURDANS,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.383.053,77554456200967,ORSAC - CAT DIENET, ,1240,SAINT PAUL DE VARAX,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
01.384.001,43834069700012,BOIVIN FRANCK NOEL,167 RUE DU DOCTEUR TEMPORAL,1230,SAINT RAMBERT EN BUGEY,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.388.003,50164519600129,COMPAGNIE DES FROMAGES ET RICHESMONTS,LE BOURG,1560,SAINT TRIVIER DE COURTES,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.391.001,32703372600024,SA GAVAND ET PRUDENT,LD LES CAPETTES,1270,SALAVRE,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,
01.391.002,34841688400057,EUR GASTRONOMIQUE DE CHARCUTERIE,LES CAPETTES,1270,SALAVRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
01.405.002,38322876400015,BRESSOR SA,0,1960,SERVAS,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.405.003,50308898100017,SARL J. A. MICHON - LE PERE MICHON,LA FRETAZ,1960,SERVAS,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,
01.408.001,30117042900015,COOP FROMAGERIE SIMANDRE SUR SURAN,0,1250,SIMANDRE SUR SURAN,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.418.001,50370922200015,EPICES ET TOUS,287 CHE DE LA FROMAGERE,1120,THIL,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
01.419.051,42332884800019,EARL BERGERIE DE BAISENAZ,500 CHE DE BAISENAZ,1710,THOIRY,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
01.429.052,37915966800027,SOFIAGRI,ZA LES BROSSES,1660,VANDEINS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
